year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"United States","01000US","General & operations managers","111021","Male","1",656955,7898.14,102109.0,974.021
2014,"United States","01000US","General & operations managers","111021","Female","2",285566,5362.27,73797.3,1193.56
2014,"United States","01000US","Compensation & benefits managers","113111","Male","1",3305,457.851,132854.0,16845.8
2014,"United States","01000US","Compensation & benefits managers","113111","Female","2",12367,927.663,81879.7,4254.67
2014,"United States","01000US","Human resources managers","113121","Male","1",143687,3178.97,93349.1,1982.11
2014,"United States","01000US","Human resources managers","113121","Female","2",207136,4087.41,77711.4,1234.95
2014,"United States","01000US","Training & development managers","113131","Male","1",28819,1562.9,82908.8,3398.62
2014,"United States","01000US","Training & development managers","113131","Female","2",24821,1540.69,73724.9,2464.76
2014,"United States","01000US","Emergency management directors","119161","Male","1",6895,699.239,73114.7,3321.18
2014,"United States","01000US","Emergency management directors","119161","Female","2",2747,579.803,73023.9,11444.2
2014,"United States","01000US","Agents & business managers of artists, performers, & athletes","131011","Male","1",20091,1331.76,80263.1,6165.86
2014,"United States","01000US","Agents & business managers of artists, performers, & athletes","131011","Female","2",15257,1241.4,64207.9,5565.84
2014,"United States","01000US","Buyers & purchasing agents, farm products","131021","Male","1",6205,768.865,69381.9,6715.65
2014,"United States","01000US","Buyers & purchasing agents, farm products","131021","Female","2",2666,520.806,46148.1,5934.31
2014,"United States","01000US","Wholesale & retail buyers, except farm products","131022","Male","1",95105,3382.91,58948.1,2145.19
2014,"United States","01000US","Wholesale & retail buyers, except farm products","131022","Female","2",115510,3358.18,49578.8,945.409
2014,"United States","01000US","Purchasing agents, except wholesale, retail, & farm products","131023","Male","1",119176,3194.16,66848.0,1110.73
2014,"United States","01000US","Purchasing agents, except wholesale, retail, & farm products","131023","Female","2",134048,3624.48,54464.5,877.861
2014,"United States","01000US","Claims adjusters, appraisers, examiners, & investigators","131030","Male","1",108149,3389.34,63876.2,1124.23
2014,"United States","01000US","Claims adjusters, appraisers, examiners, & investigators","131030","Female","2",174411,3979.51,50798.2,572.244
2014,"United States","01000US","Compliance officers","131041","Male","1",99538,2703.05,81656.5,1467.21
2014,"United States","01000US","Compliance officers","131041","Female","2",102974,3241.96,70843.3,1786.61
2014,"United States","01000US","Cost estimators","131051","Male","1",107139,3067.23,70455.8,1351.9
2014,"United States","01000US","Cost estimators","131051","Female","2",16897,1256.59,53146.1,2024.14
2014,"United States","01000US","Human resources workers","131070","Male","1",195020,4625.04,77440.7,1473.66
2014,"United States","01000US","Human resources workers","131070","Female","2",473753,5620.73,61684.9,645.511
2014,"United States","01000US","Logisticians","131081","Male","1",75917,2741.14,64960.7,1651.15
2014,"United States","01000US","Logisticians","131081","Female","2",37936,1993.48,53117.4,1647.53
2014,"United States","01000US","Management analysts","131111","Male","1",368156,5741.33,110739.0,1378.64
2014,"United States","01000US","Management analysts","131111","Female","2",264529,4490.09,81307.2,983.762
2014,"United States","01000US","Meeting, convention, & event planners","131121","Male","1",23908,1442.57,58172.3,3589.1
2014,"United States","01000US","Meeting, convention, & event planners","131121","Female","2",80136,2866.89,51363.6,1317.25
2014,"United States","01000US","Fundraisers","131131","Male","1",26202,1252.65,87318.7,5179.66
2014,"United States","01000US","Fundraisers","131131","Female","2",64890,2040.45,63972.0,1839.27
2014,"United States","01000US","Compensation, benefits, & job analysis specialists","131141","Male","1",13873,958.093,77587.9,6259.05
2014,"United States","01000US","Compensation, benefits, & job analysis specialists","131141","Female","2",44724,1701.47,54791.3,1309.3
2014,"United States","01000US","Training & development specialists","131151","Male","1",59319,2327.69,68374.4,2106.65
2014,"United States","01000US","Training & development specialists","131151","Female","2",65180,2694.82,56375.1,1368.09
2014,"United States","01000US","Market research analysts & marketing specialists","131161","Male","1",109744,3139.78,101730.0,2776.43
2014,"United States","01000US","Market research analysts & marketing specialists","131161","Female","2",145429,3257.15,71895.5,1281.17
2014,"United States","01000US","Business operations specialists, all other","131199","Male","1",106309,3188.36,81230.0,1806.62
2014,"United States","01000US","Business operations specialists, all other","131199","Female","2",140534,3252.42,58709.4,951.283
2014,"United States","01000US","Accountants & auditors","132011","Male","1",751152,8032.78,93822.9,849.963
2014,"United States","01000US","Accountants & auditors","132011","Female","2",1157087,9803.69,63160.9,332.03
2014,"United States","01000US","Appraisers & assessors of real estate","132021","Male","1",43200,1549.94,69562.8,2390.67
2014,"United States","01000US","Appraisers & assessors of real estate","132021","Female","2",24587,1486.39,49303.9,1727.78
2014,"United States","01000US","Budget analysts","132031","Male","1",17567,1187.97,84310.6,3121.37
2014,"United States","01000US","Budget analysts","132031","Female","2",29271,1508.52,71372.7,1340.23
2014,"United States","01000US","Credit analysts","132041","Male","1",11621,1038.53,74826.4,4604.05
2014,"United States","01000US","Credit analysts","132041","Female","2",15382,1172.61,57718.3,3304.93
2014,"United States","01000US","Financial analysts","132051","Male","1",59734,2455.23,139675.0,5011.2
2014,"United States","01000US","Financial analysts","132051","Female","2",35864,1645.73,92336.2,3768.62
2014,"United States","01000US","Personal financial advisors","132052","Male","1",210059,4743.19,140614.0,2693.94
2014,"United States","01000US","Personal financial advisors","132052","Female","2",97225,3160.57,84261.7,2403.32
2014,"United States","01000US","Insurance underwriters","132053","Male","1",34425,1772.4,91064.5,3684.0
2014,"United States","01000US","Insurance underwriters","132053","Female","2",70216,2633.89,60341.2,1173.72
2014,"United States","01000US","Financial examiners","132061","Male","1",7283,777.995,101642.0,7917.5
2014,"United States","01000US","Financial examiners","132061","Female","2",6606,755.059,72789.5,5449.78
